"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value","model"
2024-12-14,"Nevada",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,73.0496430402439,"argo_raw"
2024-12-14,"Nevada",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,57.6035267857679,"argo_raw"
2024-12-14,"Nevada",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,55.8992085367502,"argo_raw"
2024-12-14,"New Hampshire",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,18.0564800871043,"argo_raw"
2024-12-14,"New Hampshire",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,15.9235608529268,"argo_raw"
2024-12-14,"New Hampshire",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,14.6228313054337,"argo_raw"
2024-12-14,"New Hampshire",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,14.6228313054337,"argo_raw"
2024-12-14,"New Jersey",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,168.101539442678,"argo_raw"
2024-12-14,"New Jersey",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,115.337976452041,"argo_raw"
2024-12-14,"New Jersey",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,117.165269304571,"argo_raw"
2024-12-14,"New Jersey",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,154.299476440723,"argo_raw"
2024-12-14,"New Mexico",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,96.0284157749286,"argo_raw"
2024-12-14,"New Mexico",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,89.1338026553996,"argo_raw"
2024-12-14,"New Mexico",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,86.2733343463191,"argo_raw"
2024-12-14,"New Mexico",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,86.2733343463191,"argo_raw"
2024-12-14,"New York",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,349.030726666972,"argo_raw"
2024-12-14,"New York",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,382.881754635077,"argo_raw"
2024-12-14,"New York",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,325.525880098625,"argo_raw"
2024-12-14,"New York",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,316.796401952997,"argo_raw"
2024-12-14,"North Carolina",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,100.889970221198,"argo_raw"
2024-12-14,"North Carolina",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,175.472134572135,"argo_raw"
2024-12-14,"North Carolina",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,72.2646663374946,"argo_raw"
2024-12-14,"North Carolina",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,72.2646663374946,"argo_raw"
2024-12-14,"North Dakota",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,8.2095669309399,"argo_raw"
2024-12-14,"North Dakota",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,8.01767938412613,"argo_raw"
2024-12-14,"North Dakota",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,7.3315705649868,"argo_raw"
2024-12-14,"North Dakota",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,5.52385560452859,"argo_raw"
2024-12-14,"Ohio",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,107.758827627881,"argo_raw"
2024-12-14,"Ohio",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,163.376152142474,"argo_raw"
2024-12-14,"Ohio",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,89.9324206414202,"argo_raw"
2024-12-14,"Ohio",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,89.3319920734311,"argo_raw"
2024-12-14,"Oklahoma",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,61.2925982410064,"argo_raw"
2024-12-14,"Oklahoma",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,64.9132784676256,"argo_raw"
2024-12-14,"Oklahoma",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,46.8656137342909,"argo_raw"
2024-12-14,"Oklahoma",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,43.5512506069379,"argo_raw"
2024-12-14,"Oregon",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,92.9016243329957,"argo_raw"
2024-12-14,"Oregon",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,67.5922599949295,"argo_raw"
2024-12-14,"Oregon",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,61.1908128088002,"argo_raw"
2024-12-14,"Oregon",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,60.6862927974113,"argo_raw"
2024-12-14,"Pennsylvania",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,247.751084092322,"argo_raw"
2024-12-14,"Pennsylvania",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,268.499993330383,"argo_raw"
2024-12-14,"Pennsylvania",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,189.393880823339,"argo_raw"
2024-12-14,"Pennsylvania",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,189.118786857522,"argo_raw"
2024-12-14,"Puerto Rico",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,64.6782732336503,"argo_raw"
2024-12-14,"Puerto Rico",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,63.6183604784119,"argo_raw"
2024-12-14,"Puerto Rico",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,64.3176148570289,"argo_raw"
2024-12-14,"Puerto Rico",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,64.3176148570289,"argo_raw"
2024-12-14,"Rhode Island",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,12.3765231569894,"argo_raw"
2024-12-14,"Rhode Island",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,8.9514933130432,"argo_raw"
2024-12-14,"Rhode Island",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,7.51899468600276,"argo_raw"
2024-12-14,"Rhode Island",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,7.51899468600276,"argo_raw"
2024-12-14,"South Carolina",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,64.6843907488743,"argo_raw"
2024-12-14,"South Carolina",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,84.0162070682654,"argo_raw"
2024-12-14,"South Carolina",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,51.0101040947612,"argo_raw"
2024-12-14,"South Carolina",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,51.0101040947612,"argo_raw"
2024-12-14,"South Dakota",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,7.54034524959117,"argo_raw"
2024-12-14,"South Dakota",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,9.30368912230855,"argo_raw"
2024-12-14,"South Dakota",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,7.4153862445599,"argo_raw"
2024-12-14,"South Dakota",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,4.69709750482102,"argo_raw"
2024-12-14,"Tennessee",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,111.049307694211,"argo_raw"
2024-12-14,"Tennessee",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,163.106489100914,"argo_raw"
2024-12-14,"Tennessee",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,89.1699247975923,"argo_raw"
2024-12-14,"Tennessee",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,89.6903335875668,"argo_raw"
2024-12-14,"Texas",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,537.865026848461,"argo_raw"
2024-12-14,"Texas",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,580.319146060057,"argo_raw"
2024-12-14,"Texas",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,626.090143391014,"argo_raw"
2024-12-14,"Texas",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,626.974969989876,"argo_raw"
2024-12-14,"US",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,6793.59270295465,"argo_raw"
2024-12-14,"US",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,6060.10362980474,"argo_raw"
2024-12-14,"US",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,6154.3265158609,"argo_raw"
2024-12-14,"US",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,6530.97464060675,"argo_raw"
2024-12-14,"Utah",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,34.07904589915,"argo_raw"
2024-12-14,"Utah",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,20.9208660049921,"argo_raw"
2024-12-14,"Utah",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,39.8914650694436,"argo_raw"
2024-12-14,"Utah",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,47.8583043174751,"argo_raw"
2024-12-14,"Vermont",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,2.3352944252326,"argo_raw"
2024-12-14,"Vermont",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,2.3218483356572,"argo_raw"
2024-12-14,"Vermont",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,2.33033061077254,"argo_raw"
2024-12-14,"Vermont",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,2.33033061077254,"argo_raw"
2024-12-14,"Virginia",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,94.8415559104068,"argo_raw"
2024-12-14,"Virginia",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,96.6207211844417,"argo_raw"
2024-12-14,"Virginia",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,72.9895887717293,"argo_raw"
2024-12-14,"Virginia",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,72.9895887717293,"argo_raw"
2024-12-14,"Washington",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,76.0451831660029,"argo_raw"
2024-12-14,"Washington",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,77.4472406574808,"argo_raw"
2024-12-14,"Washington",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,58.4305615219484,"argo_raw"
2024-12-14,"Washington",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,52.689499726474,"argo_raw"
2024-12-14,"West Virginia",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,16.7946490350463,"argo_raw"
2024-12-14,"West Virginia",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,18.9105363685289,"argo_raw"
2024-12-14,"West Virginia",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,15.4746430434102,"argo_raw"
2024-12-14,"West Virginia",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,15.4746430434102,"argo_raw"
2024-12-14,"Wisconsin",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,61.5211770382403,"argo_raw"
2024-12-14,"Wisconsin",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,60.6129238808819,"argo_raw"
2024-12-14,"Wisconsin",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,46.0365225159118,"argo_raw"
2024-12-14,"Wisconsin",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,32.8772968859555,"argo_raw"
2024-12-14,"Wyoming",0,"wk inc flu hosp",2024-12-14,"quantile",0.5,10.377245320225,"argo_raw"
2024-12-14,"Wyoming",1,"wk inc flu hosp",2024-12-21,"quantile",0.5,10.805653151097,"argo_raw"
2024-12-14,"Wyoming",2,"wk inc flu hosp",2024-12-28,"quantile",0.5,6.98218490597552,"argo_raw"
2024-12-14,"Wyoming",3,"wk inc flu hosp",2025-01-04,"quantile",0.5,6.83849515547667,"argo_raw"
