location_name,horizon,value,date
Minnesota,4,23.178823551949236,2024-10-26
Mississippi,4,6.072315929651973,2024-10-26
Missouri,4,22.056891668673313,2024-10-26
Montana,4,1.1372296436782974,2024-10-26
Nebraska,4,3.208138896636179,2024-10-26
Nevada,4,-0.7145460063156347,2024-10-26
New Hampshire,4,5.227606577802989,2024-10-26
New Jersey,4,23.051095396928964,2024-10-26
New Mexico,4,-0.09065588662477377,2024-10-26
New York,4,35.42469048248799,2024-10-26
North Carolina,4,54.25571414787385,2024-10-26
North Dakota,4,1.4438266265322972,2024-10-26
Ohio,4,14.215118881483997,2024-10-26
Oklahoma,4,21.971286100091444,2024-10-26
Oregon,4,-2.8807758296039325,2024-10-26
Pennsylvania,4,49.51986316856312,2024-10-26
Puerto Rico,4,20.226277170470514,2024-10-26
Rhode Island,4,1.333529314953293,2024-10-26
South Carolina,4,27.654135944755943,2024-10-26
South Dakota,4,3.0423754349775938,2024-10-26
Tennessee,4,30.921401827104905,2024-10-26
Texas,4,60.05457952043681,2024-10-26
US,4,1136.8180437619014,2024-10-26
Utah,4,2.8483105899538192,2024-10-26
Vermont,4,-0.4778484296709857,2024-10-26
Virginia,4,58.23654998562904,2024-10-26
Washington,4,1.9874302577264915,2024-10-26
West Virginia,4,10.590106428269433,2024-10-26
Wisconsin,4,12.27357282361502,2024-10-26
Wyoming,4,0.7179605599395936,2024-10-26
